subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,response,rt,is_correct
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,223,mouse,valid,mask,pic,mouse,left,left,left,485.380343627,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,224,swan,valid,nomask,word,swan,right,same,same,551.097098738,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,225,saltshaker,invalid,nomask,pic,strawberry,left,left,left,640.896243975,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,226,raccoon,valid,nomask,pic,raccoon,right,right,right,442.799161188,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,227,pig,valid,mask,pic,pig,left,left,left,484.421682544,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,228,lion,valid,nomask,pic,lion,right,right,right,491.183841601,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,229,pear,valid,mask,pic,pear,left,left,left,440.908087417,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,230,bottle,valid,nomask,pic,bottle,right,right,right,614.658067003,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,231,swan,valid,mask,pic,swan,right,right,right,389.751132578,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,232,gorilla,valid,nomask,pic,gorilla,right,right,right,366.266664583,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,233,tiger,valid,nomask,pic,tiger,left,left,left,451.02059748,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,234,lion,valid,mask,word,lion,right,same,right,437.802282162,0
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,235,alligator,valid,mask,pic,alligator,right,right,right,601.439751685,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,236,tomato,valid,nomask,pic,tomato,right,right,right,555.988988839,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,237,zebra,valid,mask,word,zebra,right,same,same,437.007826287,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,238,tree,invalid,nomask,pic,deer,left,left,left,573.783909436,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,239,bottle,valid,mask,pic,bottle,right,right,right,495.541506913,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,240,rabbit,valid,nomask,pic,rabbit,right,right,right,456.284749787,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,241,giraffe,invalid,mask,word,camel,right,different,same,533.958356362,0
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,242,grasshopper,valid,nomask,pic,grasshopper,right,right,right,558.79775295,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,243,pear,valid,mask,word,pear,left,same,same,603.564489633,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,244,lion,valid,nomask,pic,lion,right,right,right,543.355792761,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,245,dog,valid,mask,pic,dog,right,right,right,552.927036304,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,246,alligator,valid,mask,pic,alligator,left,left,left,712.875182275,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,247,kangaroo,valid,mask,pic,kangaroo,right,right,right,418.613062706,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,248,penguin,invalid,nomask,word,lion,left,different,different,580.435318407,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,249,chicken,valid,mask,pic,chicken,left,left,left,487.167709507,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,250,camel,invalid,mask,pic,penguin,right,right,right,495.200614445,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,251,leopard,valid,mask,pic,leopard,left,left,left,468.734215945,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,252,deer,valid,mask,word,deer,left,same,same,818.525359035,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,253,bottle,valid,mask,pic,bottle,left,left,left,484.27636316,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,254,gorilla,valid,nomask,pic,gorilla,left,left,left,408.051470295,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,255,rabbit,valid,mask,pic,rabbit,left,left,left,495.532544795,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,256,elephant,valid,nomask,pic,elephant,right,right,right,381.621880922,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,257,alligator,valid,nomask,word,alligator,left,same,same,668.309459928,1
MOW105,105,2015_Nov_16_1129,LL-Kramer,3,test,258,giraffe,invalid,mask,word,pear,left,different,different,828.044108115,1
