Concept	Pronunciation	Phon_1st	KF	ln(KF)	BNC	ln(BNC)	Familiarity	Length_Letters	Length_Phonemes	Length_Syllables	Bigram	Trigram	ColtheartN	Num_Feats_Tax	Num_Feats_No_Tax	Num_Disting_Feats_No_Tax	Disting_Feats_%_No_Tax	Mean_Distinct_No_Tax	Mean_CV_No_Tax	Density_No_Tax	Num_Corred_Pairs_No_Tax	%_Corred_Pairs_No_Tax	Num_Func	Num_Vis_Mot	Num_VisF&S	Num_Vis_Col	Num_Sound	Num_Taste	Num_Smell	Num_Tact	Num_Ency	Num_Tax
crossbow	  - 	k	1	0.00	113	4.73	3.35	8	6	2	349.97	20.72	0	8	7	2	28.6	0.293	0.243	74.61	4	40	3	0	2	0	0	0	0	0	2	1
crow	[kr@U]	k	3	1.10	533	6.28	5.00	4	3	1	2164.56	69.47	6	13	11	2	18.2	0.162	0.158	360.89	9	25	0	2	4	1	3	0	0	0	1	2
crowbar	[kr@U][bA:r*]	k	1	0.00	61	4.11	4.00	7	6	2	574.85	55.61	0	12	10	5	50.0	0.362	0.361	0.00	0	0	5	0	2	1	0	0	0	2	0	2
crown	[kraUn]	k	19	2.94	5492	8.61	2.95	5	4	1	972.20	339.18	7	14	14	9	64.3	0.672	0.669	100.97	3	30	4	0	4	0	0	0	0	1	5	0
cucumber	[kju:][kVm][b@r*]	k	1	0.00	252	5.53	7.10	8	9	3	472.34	92.43	0	16	15	4	26.7	0.295	0.288	261.92	15	27	3	0	5	3	0	0	0	2	2	1
cup	[kVp]	k	59	4.08	13575	9.52	8.20	3	3	1			9	21	19	4	21.1	0.269	0.257	559.98	29	28	6	0	8	1	0	0	0	0	4	2
cupboard	[kV][b@d]	k	4	1.39	1943	7.57	8.00	8	5	2	180.80	39.61	0	10	10	3	30.0	0.323	0.355	172.17	9	43	5	0	4	0	0	0	0	0	1	0
curtains	"[k3:][tn,z]"	k	21	3.04	3412	8.14	8.40	8	5	2	1057.34	66.57	0	13	13	6	46.2	0.349	0.345	346.47	11	52	8	0	2	1	0	0	0	0	2	0
cushion	"[kU][Sn,]"	k	10	2.30	1004	6.91	7.90	7	4	2	656.01	265.37	0	16	15	6	40.0	0.331	0.271	202.21	7	19	3	0	6	1	0	0	0	2	3	1
dagger	[d&][g@r*]	d	1	0.00	433	6.07	3.00	6	5	2	1643.90	177.13	2	14	12	3	25.0	0.253	0.256	189.63	9	25	4	0	6	0	0	0	0	1	1	2
dandelion	[d&n][dI][laI][@n]	d	1	0.00	189	5.24	6.40	9	9	4	693.53	309.94	0	13	10	5	50.0	0.521	0.519	7.75	1	10	0	0	2	2	0	0	0	1	5	3
deer	[dI@r*]	d	13	2.56	930	6.84	5.40	4	3	1	2800.84	113.27	10	20	16	2	12.5	0.200	0.199	381.41	23	25	2	2	7	2	0	0	0	0	3	4
desk	[dEsk]	d	69	4.23	4873	8.49	8.65	4	4	1	843.21	82.29	3	16	15	8	53.3	0.523	0.518	49.07	3	14	4	0	7	0	0	0	0	0	4	1
dish	[dIS]	d	37	3.61	3043	8.02	8.80	4	3	1	595.11	176.78	5	10	10	1	10.0	0.124	0.139	82.85	5	14	3	0	4	1	0	0	0	0	2	0
dishwasher	[dIS][wO][S@r*]	d	1	0.00	254	5.54	7.30	10	8	3	218.20	0.00	0	13	12	6	50.0	0.408	0.411	18.86	1	7	2	0	5	0	1	0	0	0	4	1
dog	[dOg]	d	145	4.98	12536	9.44	8.15	3	3	1			14	18	14	7	50.0	0.467	0.455	92.54	7	33	1	2	6	0	1	0	0	1	3	4
doll	[dOl]	d	22	3.09	1167	7.06	7.75	4	3	1	3312.44	43.66	11	12	10	4	40.0	0.503	0.525	76.95	5	33	4	0	2	0	0	0	0	0	4	2
dolphin	[dOl][fIn]	d	5	1.61	1614	7.39	3.85	7	6	2	268.53	14.19	0	23	20	9	45.0	0.359	0.355	200.14	8	15	1	5	2	1	2	0	0	1	8	3
donkey	[dON][kI]	d	1	0.00	731	6.59	4.45	6	5	2	710.05	39.01	1	14	12	2	16.7	0.188	0.190	163.72	13	29	1	0	5	2	1	0	0	1	2	2
door	[dO:r*]	d	348	5.85	30174	10.31	8.95	4	3	1	2587.59	446.65	5	13	13	6	46.2	0.415	0.413	180.59	3	14	6	0	7	0	0	0	0	0	0	0
doorknob	[dO:][nOb]	d	3	1.10	40	3.69	8.85	8	5	2	81.34	5.40	0	9	9	3	33.3	0.441	0.432	8.75	1	7	3	0	4	0	0	0	0	1	1	0
dove	[dVv]	d	5	1.61	458	6.13	3.70	4	3	1	3310.75	274.58	13	10	9	1	11.1	0.183	0.166	456.00	12	43	0	1	3	1	0	0	0	0	4	1
drain	[dreIn]	d	23	3.14	1620	7.39	7.70	5	4	1	1132.34	483.42	4	9	9	6	66.7	0.617	0.640	0.00	0	0	3	0	2	0	0	0	0	0	4	0
drapes	[dreIps]	d	1	0.00	125	4.83	7.70	6	5	1	931.81	44.84	3	18	17	8	47.1	0.402	0.416	346.47	11	31	11	0	2	1	0	0	0	1	2	1
dress	[drEs]	d	77	4.34	5907	8.68	7.85	5	4	1	1317.71	254.38	5	13	12	3	25.0	0.272	0.266	128.63	9	25	2	0	4	1	0	0	0	0	5	1
dresser	[drE][s@r*]	d	3	1.10	335	5.81	8.35	7	6	2	1175.58	205.24	2	11	10	1	10.0	0.209	0.249	266.22	9	25	2	0	6	0	0	0	0	1	1	1
drill	[drIl]	d	37	3.61	1373	7.22	6.00	5	4	1	1687.64	424.98	5	11	10	6	60.0	0.621	0.633	0.00	0	0	3	0	4	0	1	0	0	0	2	1
drum	[drVm]	d	26	3.26	1650	7.41	5.20	4	4	1	100.97	18.52	2	13	12	5	41.7	0.476	0.474	47.92	3	14	3	0	3	0	5	0	0	0	1	1
duck	[dVk]	d	13	2.56	2094	7.65	5.20	4	3	1	1488.22	53.91	13	20	17	4	23.5	0.203	0.205	739.15	29	37	2	4	6	0	1	0	0	0	4	3
dunebuggy	  - 	d	1	0.00	1	0.00	2.70	9	7	3	39.66	0.20	0	15	13	6	46.2	0.459	0.452	166.11	8	38	1	1	5	0	1	0	0	0	5	2
eagle	"[i:][gl,]"	i:	11	2.40	1793	7.49	3.60	5	3	2	650.78	23.17	0	17	14	3	21.4	0.243	0.239	562.12	20	36	0	2	6	0	0	0	0	0	6	3
earmuffs	  - 	i:	1	0.00	4	1.39	5.25	8	6	2	141.39	16.85	0	13	13	3	23.1	0.319	0.294	118.59	10	22	5	0	2	1	0	0	0	4	1	0
eel	[i:l]	i:	2	0.69	355	5.87	2.55	3	2	1			1	11	10	1	10.0	0.144	0.146	108.01	4	11	1	1	2	1	0	0	0	1	4	1
eggplant	  - 	eI	1	0.00	6	1.79	3.75	8	7	2	276.03	67.21	0	9	8	1	12.5	0.151	0.149	91.78	5	24	2	0	1	3	0	0	0	0	2	1
elephant	[E][lI][f@nt]	E	17	2.83	1508	7.32	3.50	8	7	3	369.51	100.69	0	17	15	4	26.7	0.291	0.314	196.87	12	22	2	2	8	1	0	0	0	0	2	2
elevator	[E][lI][veI][t@r*]	E	12	2.48	279	5.63	8.10	8	8	4	245.40	68.99	0	14	14	7	50.0	0.475	0.490	0.00	0	0	3	2	6	0	0	0	0	0	3	0
elk	[Elk]	E	2	0.69	40	3.69	2.65	3	3	1			3	16	13	1	7.7	0.155	0.131	192.64	14	21	2	2	5	1	0	0	0	1	2	3
emerald	[E][m@][r@ld]	E	9	2.20	345	5.84	4.05	7	7	3	229.89	61.29	0	12	9	5	55.6	0.589	0.598	13.44	1	17	3	0	1	1	0	0	0	0	4	3
emu	  - 	I	1	0.00	293	5.68	3.10	3	3	2			0	12	10	2	20.0	0.229	0.218	209.48	10	36	0	0	7	0	0	0	0	0	3	2
envelope	[En][v@][l@Up]	E	24	3.18	1860	7.53	7.90	8	7	3	234.94	39.02	0	11	11	7	63.6	0.608	0.621	0.00	0	0	4	0	3	2	0	0	0	0	2	0
escalator	[E][sk@][leI][t@r*]	E	1	0.00	141	4.95	7.35	9	9	4	180.25	24.30	0	11	10	6	60.0	0.541	0.505	0.00	0	0	0	3	4	1	0	0	0	0	2	1
falcon	[fO:l][k@n]	f	4	1.39	408	6.01	2.85	6	6	2	777.69	14.98	0	14	11	1	9.1	0.121	0.134	537.02	17	38	0	2	6	0	0	0	0	0	3	3
fan_(appliance)	[f&n]	f	39	3.66	5187	8.55	7.65	3	3	1			16	12	12	7	58.3	0.556	0.554	13.79	1	10	2	1	5	0	0	0	0	0	4	0
faucet	[fO:][sIt]	f	1	0.00	11	2.40	8.10	6	5	2	744.88	8.63	0	18	17	10	58.8	0.630	0.622	126.85	7	33	4	0	7	0	0	0	0	0	6	1
fawn	[fO:n]	f	1	0.00	145	4.98	3.80	4	3	1	1039.03	32.82	5	26	21	3	14.3	0.202	0.169	259.81	17	11	2	4	7	1	0	0	0	1	6	5
fence	[fEns]	f	46	3.83	2289	7.74	8.15	5	4	1	948.93	241.77	2	11	8	4	50.0	0.484	0.464	0.00	0	0	3	0	3	1	0	0	0	0	1	3
finch	[fIntS]	f	1	0.00	354	5.87	3.25	5	4	1	2077.23	277.85	3	10	9	0	0.0	0.040	0.037	505.99	19	53	0	2	4	1	1	0	0	0	1	1
flamingo	[fl@][mIN][g@U]	f	1	0.00	138	4.93	2.70	8	8	3	342.72	89.25	0	11	9	2	22.2	0.321	0.311	234.70	8	38	0	1	4	1	0	0	0	0	3	2
flea	[fli:]	f	2	0.69	331	5.80	4.35	4	3	1	273.14	29.33	5	17	15	8	53.3	0.601	0.613	35.23	3	14	0	3	1	1	0	0	0	0	10	2
flute	[flu:t]	f	1	0.00	509	6.23	4.60	5	4	1	796.67	38.11	1	13	12	0	0.0	0.086	0.081	180.25	9	14	3	0	7	1	1	0	0	0	0	1
football	[fUt][bO:l]	f	37	3.61	6735	8.82	6.10	8	6	2	159.31	43.32	0	15	15	7	46.7	0.560	0.577	135.16	8	29	4	1	7	2	0	0	0	0	1	0
fork	[fO:k]	f	7	1.95	1055	6.96	8.70	4	3	1	2377.90	597.01	8	14	13	5	38.5	0.381	0.406	41.56	3	11	1	0	8	0	0	0	0	1	3	1
fox	[fOks]	f	13	2.56	2741	7.92	4.70	3	4	1			8	17	14	2	14.3	0.175	0.166	209.70	16	24	1	1	6	1	0	0	0	0	5	3
freezer	[fri:][z@r*]	f	2	0.69	527	6.27	8.35	7	6	2	927.82	57.89	1	19	18	9	50.0	0.545	0.546	181.47	10	28	8	0	5	1	0	0	0	1	3	1
fridge	[frIdZ]	f	1	0.00	1052	6.96	8.80	6	4	1	467.16	106.07	2	19	18	4	22.2	0.310	0.304	312.57	18	20	4	0	9	1	0	0	0	2	2	1
frog	[frOg]	f	2	0.69	960	6.87	5.45	4	4	1	2962.21	264.63	3	16	14	3	21.4	0.254	0.255	263.05	11	20	0	5	3	1	1	0	0	0	4	2
garage	[g&][rA:dZ]	g	26	3.26	2387	7.78	7.85	6	5	2	611.33	96.15	0	9	9	4	44.4	0.442	0.451	64.08	4	40	5	0	3	0	0	0	0	0	1	0
garlic	[gA:][lIk]	g	4	1.39	802	6.69	7.85	6	5	2	571.80	133.71	0	21	20	14	70.0	0.560	0.581	31.75	2	13	10	0	4	1	0	2	2	0	1	1
gate	[geIt]	g	52	3.95	5823	8.67	7.10	4	3	1	738.56	306.17	13	14	14	8	57.1	0.525	0.541	180.59	3	20	7	0	6	0	0	0	0	0	1	0
giraffe	[dZI][rA:f]	dZ	1	0.00	106	4.66	4.05	7	5	2	85.30	6.15	0	14	12	0	0.0	0.147	0.191	390.26	20	30	0	1	5	3	0	0	0	0	3	2
gloves	[glVvz]	g	16	2.77	1405	7.25	8.40	6	5	1	964.13	117.71	4	14	12	5	41.7	0.386	0.378	416.20	13	62	5	0	4	0	0	0	0	0	3	2
goat	[g@Ut]	g	6	1.79	1201	7.09	4.05	4	3	1	5890.29	81.85	7	20	18	7	38.9	0.333	0.330	261.13	20	36	2	5	7	1	0	0	0	0	3	2
goldfish	[g@Uld][fIS]	g	1	0.00	365	5.90	6.40	8	7	2	203.88	26.69	0	14	11	3	27.3	0.280	0.306	404.92	10	36	0	2	4	2	0	0	0	0	3	3
goose	[gu:s]	g	7	1.95	889	6.79	4.90	5	3	1	1892.71	512.27	4	15	13	2	15.4	0.203	0.206	605.27	19	35	1	1	6	1	1	0	0	0	3	2
gopher	  - 	g	1	0.00	13	2.56	2.60	6	4	2	1841.01	451.34	0	8	7	0	0.0	0.093	0.111	118.59	4	19	0	1	4	1	0	0	0	0	1	1
gorilla	[g@][rI][l@]	g	1	0.00	209	5.34	2.65	7	6	3	532.83	8.03	0	16	14	5	35.7	0.365	0.384	54.38	3	8	0	2	4	1	0	0	0	1	6	2
gown	[gaUn]	g	18	2.89	1031	6.94	6.15	4	3	1	1544.82	729.84	4	12	10	5	50.0	0.559	0.545	41.12	3	30	2	0	2	1	0	0	0	0	5	2
grape	[greIp]	g	10	2.30	814	6.70	7.10	5	4	1	764.32	129.28	8	18	17	4	23.5	0.260	0.284	395.19	25	32	4	0	4	3	0	2	0	1	3	1
grapefruit	[greIp][fru:t]	g	3	1.10	135	4.91	6.20	10	8	2	47.19	0.00	0	22	21	3	14.3	0.232	0.235	1391.84	53	35	4	0	7	2	0	1	0	1	6	1
grasshopper	  - 	g	4	1.39	104	4.64	4.95	11	8	3	0.00	0.00	0	13	12	2	16.7	0.188	0.208	125.51	6	13	1	3	5	1	0	0	0	0	2	1
grater	  - 	g	1	0.00	30	3.40	5.05	6	5	2	2348.27	465.82	4	12	11	3	27.3	0.322	0.313	58.54	1	4	5	0	4	0	0	0	0	1	1	1
grenade	[gr@][neId]	g	9	2.20	373	5.92	2.20	7	6	2	527.52	55.70	0	15	13	5	38.5	0.354	0.369	50.26	3	11	4	0	4	1	2	0	0	0	2	2
groundhog	  - 	g	1	0.00	5	1.61	3.85	9	8	2	160.91	7.82	0	14	12	6	50.0	0.495	0.484	94.08	4	27	1	2	1	1	0	0	0	1	6	2
guitar	[gI][tA:r*]	g	22	3.09	3423	8.14	6.15	6	5	2	223.07	32.57	0	11	8	4	50.0	0.539	0.544	62.92	2	33	1	0	3	0	2	0	0	0	2	3
gun	[gVn]	g	119	4.78	5505	8.61	3.50	3	3	1			14	16	14	1	7.1	0.143	0.139	849.93	33	42	7	1	2	1	2	0	0	0	1	2
guppy	[gV][pI]	g	1	0.00	124	4.82	2.00	5	4	2	145.48	55.28	1	6	5	2	40.0	0.214	0.140	67.15	1	33	1	1	1	0	0	0	0	0	2	1
hammer	[h&][m@r*]	h	9	2.20	1354	7.21	6.30	6	5	2	1925.65	122.34	1	16	15	5	33.3	0.358	0.369	158.41	10	22	5	0	7	0	1	0	0	1	1	1
hamster	[h&m][st@r*]	h	1	0.00	159	5.07	6.10	7	7	2	1228.52	145.19	0	14	10	3	30.0	0.291	0.276	31.91	3	14	0	4	3	1	0	0	0	1	1	4
hare	[hE@r*]	h	1	0.00	674	6.51	3.25	4	3	1	5437.33	314.77	20	18	15	2	13.3	0.166	0.171	150.23	11	14	1	4	7	2	0	0	0	0	1	3
harmonica	[hA:][mO][nI][k@]	h	1	0.00	49	3.89	3.65	9	8	4	257.16	15.69	1	6	5	1	20.0	0.265	0.288	11.51	1	17	2	0	2	0	1	0	0	0	0	1
harp	[hA:p]	h	1	0.00	310	5.74	3.05	4	3	1	2813.71	162.93	7	8	7	2	28.6	0.363	0.378	103.51	3	30	2	0	3	0	1	0	0	0	1	1
harpoon	[hA:][pu:n]	h	1	0.00	47	3.85	2.10	7	5	2	720.84	53.59	0	11	10	3	30.0	0.289	0.250	56.53	3	20	5	0	3	0	0	0	0	1	1	1
harpsichord	  - 	h	1	0.00	155	5.04	2.40	11	10	3	0.00	0.00	0	6	5	0	0.0	0.092	0.081	48.28	2	20	0	0	3	0	2	0	0	0	0	1
hatchet	[h&][tSIt]	h	4	1.39	75	4.32	2.60	7	5	2	872.04	251.30	3	8	6	1	16.7	0.118	0.061	58.54	1	10	2	0	3	0	0	0	0	1	0	2
hawk	[hO:k]	h	14	2.64	572	6.35	3.50	4	3	1	2180.79	13.52	4	13	11	2	18.2	0.267	0.258	371.26	8	22	0	4	6	0	0	0	0	0	1	2
helicopter	[hE][lI][kOp][t@r*]	h	1	0.00	1556	7.35	4.05	10	10	4	207.60	0.00	0	10	10	3	30.0	0.284	0.306	18.00	2	10	3	2	3	0	1	0	0	0	1	0
helmet	[hEl][mIt]	h	3	1.10	969	6.88	6.20	6	6	2	651.85	33.75	0	12	11	5	45.5	0.489	0.509	49.41	3	20	6	0	2	1	0	0	0	1	1	1
hoe	[h@U]	h	1	0.00	115	4.74	3.70	3	2	1			11	15	14	5	35.7	0.436	0.450	397.84	19	53	6	0	8	0	0	0	0	0	0	1
honeydew	[hV][nI][dju:]	h	1	0.00	27	3.30	4.25	8	7	3	353.46	10.87	0	14	12	2	16.7	0.213	0.210	238.91	13	29	1	0	3	2	0	2	0	1	3	2
hook	[hUk]	h	7	1.95	1912	7.56	6.65	4	3	1	2409.11	733.71	12	9	9	2	22.2	0.288	0.340	128.50	6	29	4	0	3	0	0	0	0	1	1	0
hornet	  - 	h	1	0.00	96	4.56	5.30	6	6	2	963.70	186.23	1	12	11	4	36.4	0.298	0.315	160.40	6	29	0	2	3	2	1	0	0	0	3	1
horse	[hO:s]	h	185	5.22	12660	9.45	6.30	5	3	1	2390.84	194.63	5	19	18	4	22.2	0.271	0.271	264.16	20	22	5	2	6	0	0	0	0	0	5	1
hose	[h@Uz]	h	11	2.40	388	5.96	5.75	4	3	1	1480.45	151.04	11	16	15	9	60.0	0.585	0.585	8.76	1	7	4	0	6	1	0	0	0	0	4	1
hose_(leggings)	[h@Uz]	h	11	2.40	388	5.96	6.55	4	3	1	1480.45	151.04	11	13	12	6	50.0	0.426	0.423	42.23	3	20	5	0	3	2	0	0	0	1	1	1
house	[haUs]	h	674	6.51	61006	11.02	8.45	5	3	1	3678.92	705.75	5	16	15	2	13.3	0.222	0.221	333.57	15	19	2	0	10	0	0	0	0	1	2	1
housefly	  - 	h	1	0.00	6	1.79	6.85	8	7	2	477.41	1.03	0	15	13	2	15.4	0.198	0.216	187.63	7	13	1	3	5	1	1	0	0	0	2	2
hut	[hVt]	h	19	2.94	1620	7.39	3.25	3	3	1			18	6	5	2	40.0	0.354	0.372	0.00	0	0	0	0	4	0	0	0	0	0	1	1
hyena	[haI][i:][n@]	h	1	0.00	73	4.29	1.75	5	5	3	147.99	3.22	0	14	9	4	44.4	0.378	0.375	6.86	1	10	0	2	1	0	1	0	0	1	4	5
iguana	[I][gwA:][n@]	I	1	0.00	44	3.78	3.15	6	6	3	104.52	1.88	0	17	13	3	23.1	0.321	0.340	199.89	10	22	0	1	7	1	0	0	0	2	2	4
inn	[In]	I	10	2.30	1877	7.54	5.55	3	2	1			2	10	8	3	37.5	0.543	0.548	69.44	4	40	2	0	3	0	0	0	0	0	3	2
jacket	[dZ&][kIt]	dZ	39	3.66	3575	8.18	8.60	6	5	2	894.71	264.77	2	15	14	3	21.4	0.282	0.278	337.43	20	36	4	0	6	1	0	0	0	1	2	1
jar	[dZA:r*]	dZ	19	2.94	1058	6.96	6.95	3	3	1			14	12	11	5	45.5	0.509	0.538	217.79	10	67	4	0	5	1	0	0	0	0	1	1
jeans	[dZi:nz]	dZ	24	3.18	1283	7.16	8.65	5	4	1	1483.56	284.46	4	14	13	7	53.8	0.557	0.564	81.77	4	27	2	0	5	3	0	0	0	1	2	1
jeep	[dZi:p]	dZ	16	2.77	576	6.36	6.90	4	3	1	2102.41	256.34	7	14	12	6	50.0	0.539	0.557	69.80	2	13	3	0	3	1	0	0	0	0	5	2
jet	[dZEt]	dZ	33	3.50	1830	7.51	4.50	3	3	1			13	15	14	2	14.3	0.148	0.169	422.61	16	24	3	2	6	0	1	0	0	0	2	1
kettle	"[kE][tl,]"	k	3	1.10	989	6.90	7.80	6	4	2	1874.31	801.31	4	17	16	8	50.0	0.526	0.517	101.00	5	18	5	0	6	0	1	0	0	0	4	1
key	[ki:]	k	122	4.80	14964	9.61	8.75	3	2	1			5	12	12	8	66.7	0.565	0.596	18.24	2	33	5	0	3	2	0	0	0	0	2	0
keyboard_(musical)	[ki:][bO:d]	k	4	1.39	1145	7.04	5.55	8	5	2	124.76	33.47	0	10	8	1	12.5	0.174	0.191	66.10	5	24	0	0	2	2	3	0	0	0	1	2
kite	[kaIt]	k	1	0.00	958	6.86	5.20	4	3	1	2971.81	41.90	6	14	13	5	38.5	0.370	0.385	28.64	2	7	3	1	4	2	0	0	0	0	3	1
knife	[naIf]	n	83	4.42	3364	8.12	8.00	5	3	1	262.77	38.27	0	17	14	3	21.4	0.289	0.294	200.34	11	20	3	0	6	0	0	0	0	2	3	3
ladle	"[leI][dl,]"	l	1	0.00	84	4.43	4.95	5	4	2	789.70	29.33	0	11	9	3	33.3	0.211	0.217	23.47	1	7	4	0	4	0	0	0	0	0	1	2
lamb	[l&m]	l	14	2.64	2238	7.71	4.50	4	3	1	1250.37	32.21	3	16	15	6	40.0	0.270	0.254	125.75	8	22	4	1	3	2	1	0	0	2	2	1
lamp	[l&mp]	l	24	3.18	2150	7.67	8.55	4	4	1	1288.74	84.14	8	14	13	6	46.2	0.452	0.425	36.29	3	14	3	0	6	0	0	0	0	0	4	1
lantern	[l&n][t@n]	l	15	2.71	367	5.91	5.30	7	6	2	988.50	239.29	0	12	12	5	41.7	0.456	0.441	0.00	0	0	4	0	4	0	0	0	0	0	4	0
lemon	[lE][m@n]	l	19	2.94	1351	7.21	7.15	5	5	2	367.70	18.07	1	17	16	3	18.8	0.255	0.233	596.14	29	37	6	0	4	1	0	2	0	1	2	1
leopard	[lE][p@d]	l	1	0.00	335	5.81	3.35	7	5	2	385.27	67.13	0	9	6	1	16.7	0.241	0.232	6.86	1	10	0	1	3	0	0	0	0	1	1	3
leotards	[li:][@U][tA:dz]	l	1	0.00	83	4.42	6.05	8	7	3	240.10	20.68	1	12	10	6	60.0	0.538	0.531	51.24	4	67	3	0	0	2	0	0	0	2	3	2
lettuce	[lE][tIs]	l	1	0.00	448	6.10	7.95	7	5	2	883.74	148.22	0	18	15	6	40.0	0.398	0.388	290.39	21	58	4	0	2	1	0	0	0	1	7	3
level	"[lE][vl,]"	l	282	5.64	38894	10.57	4.95	5	4	2	1438.03	561.84	3	9	8	4	50.0	0.498	0.489	0.00	0	0	5	0	3	0	0	0	0	0	0	1
lime	[laIm]	l	13	2.56	706	6.56	5.35	4	3	1	4096.24	917.57	12	13	12	4	33.3	0.361	0.350	222.23	10	36	3	0	2	1	0	2	0	1	3	1
limousine	[lI][m@][zi:n]	l	5	1.61	228	5.43	4.10	9	7	3	697.35	41.16	0	19	18	10	55.6	0.531	0.546	49.94	4	14	2	0	6	2	0	0	0	0	8	1
lion	[laI][@n]	l	23	3.14	2155	7.68	4.05	4	4	2	1440.27	16.98	1	20	13	2	15.4	0.164	0.180	220.38	14	25	1	0	5	0	1	0	0	0	6	7
lobster	[lOb][st@r*]	l	1	0.00	334	5.81	5.85	7	7	2	1153.71	144.13	0	17	14	1	7.1	0.097	0.091	154.98	7	9	3	1	4	1	0	1	0	0	4	3
machete	[m@][tSE][tI]	m	1	0.00	63	4.14	2.00	7	6	3	450.76	43.02	0	8	6	0	0.0	0.040	0.029	76.22	3	20	1	0	3	0	0	0	0	1	1	2
mackerel	[m&][kr@l]	m	2	0.69	151	5.02	3.85	8	6	2	597.26	101.73	0	9	8	0	0.0	0.056	0.046	442.04	14	50	2	1	3	0	0	0	0	0	2	1
magazine	[m&][g@][zi:n]	m	64	4.16	6418	8.77	8.15	8	7	3	954.05	63.51	0	14	14	9	64.3	0.594	0.587	67.75	4	40	1	0	7	1	0	0	0	1	4	0
mandarin	[m&n][d@][rIn]	m	1	0.00	329	5.80	3.70	8	8	3	337.79	37.87	0	15	13	0	0.0	0.105	0.080	625.28	33	42	1	0	5	1	0	2	0	1	3	2
marble	"[mA:][bl,]"	m	24	3.18	1575	7.36	6.20	6	6	2	1482.52	164.68	0	14	14	3	21.4	0.270	0.298	137.71	9	16	4	1	4	2	0	0	0	2	1	0
mat	[m&t]	m	7	1.95	858	6.75	6.85	3	3	1			22	13	12	7	58.3	0.553	0.523	0.00	0	0	5	0	3	0	0	0	0	0	4	1
medal	"[mE][dl,]"	m	11	2.40	1643	7.40	5.90	5	4	2	564.40	27.71	2	14	11	6	54.5	0.591	0.589	101.71	3	30	1	0	6	0	0	0	0	0	4	3
menu	[mE][nju:]	m	7	1.95	2046	7.62	8.05	4	5	2	773.97	9.58	1	8	8	6	75.0	0.702	0.685	0.00	0	0	2	0	5	0	0	0	0	0	1	0
microscope	[maI][kr@s][k@Up]	m	9	2.20	680	6.52	5.70	10	9	3	70.73	0.00	1	13	12	9	75.0	0.782	0.772	0.00	0	0	4	0	5	0	0	0	0	0	3	1
microwave	[maI][kr@][weIv]	m	3	1.10	707	6.56	7.95	9	8	3	161.51	6.51	0	16	14	9	64.3	0.589	0.578	51.81	3	30	3	1	4	0	1	0	0	0	5	2
mink	[mINk]	m	6	1.79	273	5.61	2.35	4	4	1	1282.08	283.22	13	15	13	2	15.4	0.185	0.182	64.67	7	13	3	1	5	1	0	0	0	2	1	2
mink_(coat)	[mINk]	m	6	1.79	273	5.61	3.15	4	4	1	1282.08	283.22	13	11	11	3	27.3	0.327	0.345	57.71	3	11	2	0	3	3	0	0	0	2	1	0
minnow	  - 	m	1	0.00	107	4.67	3.55	6	5	2	557.98	126.12	0	13	10	4	40.0	0.378	0.389	303.23	9	60	3	3	3	0	0	0	0	0	1	3
mirror	[mI][r@r*]	m	31	3.43	4539	8.42	8.40	6	5	2	370.08	96.04	0	11	11	3	27.3	0.348	0.331	24.08	1	4	1	0	3	0	0	0	0	0	7	0
missile	[mI][saIl]	m	80	4.38	1902	7.55	2.60	7	5	2	743.36	148.26	1	17	15	4	26.7	0.352	0.329	182.65	10	18	5	2	3	0	1	0	0	0	4	2
mittens	"[mI][tn,z]"	m	2	0.69	33	3.50	6.45	7	5	2	1052.21	144.37	1	15	14	8	57.1	0.448	0.464	385.40	10	67	4	0	3	1	0	0	0	0	6	1
mixer	[mIk][s@r*]	m	3	1.10	284	5.65	5.90	5	6	2	2196.00	58.57	4	9	8	2	25.0	0.340	0.339	151.98	8	53	3	0	3	0	1	0	0	0	1	1
mole_(animal)	[m@Ul]	m	4	1.39	898	6.80	2.55	4	3	1	2109.31	110.72	14	14	12	3	25.0	0.245	0.245	85.29	3	8	0	2	6	1	0	0	0	1	2	2
moose	[mu:s]	m	1	0.00	98	4.58	3.35	5	3	1	1939.63	499.25	4	15	12	0	0.0	0.096	0.099	331.61	19	29	2	0	7	1	0	0	0	0	2	3
moth	[mOT]	m	3	1.10	540	6.29	5.65	4	3	1	4173.43	309.83	5	8	7	2	28.6	0.307	0.303	84.35	1	10	0	2	2	2	0	0	0	0	1	1
motorcycle	"[m@U][t@][saI][kl,]"	m	1	0.00	367	5.91	4.90	10	8	4	125.87	0.00	0	16	15	6	40.0	0.385	0.390	189.11	11	31	4	1	3	0	1	0	0	0	6	1
mouse	[maUs]	m	20	3.00	2912	7.98	4.95	5	3	1	3648.97	509.47	6	19	17	7	41.2	0.438	0.434	119.59	8	18	2	2	5	2	1	0	0	0	5	2
mouse_(computer)	[maUs]	m	20	3.00	1897	7.55	8.60	5	3	1	3648.97	509.47	6	12	12	7	58.3	0.625	0.640	25.68	2	20	3	0	7	0	1	0	0	0	1	0
mug	[mVg]	m	3	1.10	1078	6.98	8.60	3	3	1			13	14	12	4	33.3	0.371	0.349	211.96	8	29	7	0	5	0	0	0	0	0	0	2
