Concept	Pronunciation	Phon_1st	KF	ln(KF)	BNC	ln(BNC)	Familiarity	Length_Letters	Length_Phonemes	Length_Syllables	Bigram	Trigram	ColtheartN	Num_Feats_Tax	Num_Feats_No_Tax	Num_Disting_Feats_No_Tax	Disting_Feats_%_No_Tax	Mean_Distinct_No_Tax	Mean_CV_No_Tax	Density_No_Tax	Num_Corred_Pairs_No_Tax	%_Corred_Pairs_No_Tax	Num_Func	Num_Vis_Mot	Num_VisF&S	Num_Vis_Col	Num_Sound	Num_Taste	Num_Smell	Num_Tact	Num_Ency	Num_Tax
bowl	[b@Ul]	b	26	3.26	3165	8.06	8.50	4	3	1	1122.63	34.78	7	14	14	3	21.4	0.296	0.271	100.63	7	13	7	0	4	1	0	0	0	0	2	0
box	[bOks]	b	84	4.43	11653	9.36	7.80	3	4	1			11	14	13	4	30.8	0.364	0.378	48.58	4	11	2	0	10	1	0	0	0	0	0	1
bra	[brA:]	b	1	0.00	493	6.20	7.45	3	3	1			3	20	18	10	55.6	0.475	0.475	97.29	8	29	3	0	9	3	0	0	0	1	2	2
bracelet	[breIs][lIt]	b	1	0.00	305	5.72	8.20	8	7	2	318.69	47.53	0	14	12	5	41.7	0.345	0.343	130.38	5	24	3	0	6	0	0	0	0	0	3	2
bread	[brEd]	b	41	3.71	3813	8.25	8.55	5	4	1	1280.06	514.39	6	16	14	8	57.1	0.565	0.550	0.00	0	0	5	0	1	2	0	0	0	1	5	2
brick	[brIk]	b	24	3.18	2832	7.95	7.40	5	4	1	1915.54	235.60	5	9	9	2	22.2	0.258	0.282	0.00	0	0	2	0	2	2	0	0	0	3	0	0
bridge	[brIdZ]	b	124	4.82	7562	8.93	7.10	6	4	1	517.90	103.16	2	14	13	6	46.2	0.492	0.503	10.29	1	5	5	0	6	0	0	0	0	0	2	1
broccoli	[brO][k@][lI]	b	1	0.00	134	4.90	7.55	8	7	3	309.85	17.17	0	12	11	2	18.2	0.218	0.230	286.51	17	47	3	0	3	1	0	1	0	0	3	1
broom	[bru:m]	b	2	0.69	391	5.97	7.65	5	4	1	867.40	108.06	4	13	13	7	53.8	0.546	0.556	55.94	3	20	5	0	6	0	0	0	0	0	2	0
brush	[brVS]	b	6	1.79	2448	7.80	8.70	5	4	1	638.39	55.64	3	12	12	5	41.7	0.444	0.408	55.94	3	14	6	0	4	0	0	0	0	0	2	0
bucket	[bV][kIt]	b	11	2.40	1404	7.25	6.55	6	5	2	885.63	225.09	1	7	7	0	0.0	0.085	0.082	27.30	3	14	3	0	4	0	0	0	0	0	0	0
buckle	"[bV][kl,]"	b	7	1.95	352	5.86	7.65	6	4	2	1062.77	39.56	1	8	8	3	37.5	0.343	0.338	0.00	0	0	2	0	4	0	0	0	0	0	2	0
budgie	  - 	b	1	0.00	143	4.96	4.40	6	4	2	149.88	27.01	0	17	15	1	6.7	0.116	0.105	586.13	24	26	0	3	3	4	4	0	0	0	1	2
buffalo	[bV][f@][l@U]	b	17	2.83	366	5.90	3.50	7	6	3	128.94	12.82	0	15	13	2	15.4	0.194	0.182	106.27	9	16	2	2	4	1	0	0	0	1	3	2
buggy	[bV][gI]	b	7	1.95	231	5.44	4.00	5	4	2	157.51	11.64	3	12	12	1	8.3	0.181	0.186	204.77	10	18	6	0	5	0	0	0	0	0	1	0
