num,concept,complex_line_mean,complex_gray_mean,complex_color_mean,complex_line_sd,complex_gray_sd,complex_color_sd,diagnostic,familiarity_line_mean,familiarity_gray_mean,familiarity_color_mean,familiarity_line_sd,familiarity_gray_sd,familiarity_color_sd,image_line_mean,image_gray_mean,image_color_mean,image_line_sd,image_gray_sd,image_color_sd,H_line,H_gray,H_color,acc_line,acc_gray,acc_color,rt_line,rt_gray,rt_color
112,gun,4.18,4.33,4.25,0.98,0.79,0.75,4.18,2.47,2.71,2.82,1.39,1.72,0.65,4.18,4.33,4.25,0.98,0.79,0.75,0.00,0.00,0.00,100.00,100.00,100.00,815.00,734.00,773.00
113,hair,2.64,2.17,1.83,1.50,0.70,1.24,2.73,4.50,4.71,4.53,1.07,0.72,0.76,2.64,2.17,1.83,1.50,0.70,1.24,0.00,0.00,0.00,100.00,100.00,100.00,1275.00,1077.00,939.00
114,hammer,2.73,3.25,3.33,1.49,1.30,2.24,3.36,2.71,3.00,2.53,1.10,2.00,1.14,2.73,3.25,3.33,1.49,1.30,2.24,0.58,0.00,0.00,90.00,100.00,100.00,1146.00,1080.00,1019.00
115,hand,4.45,4.25,3.83,1.21,0.39,0.52,4.18,5.00,4.71,4.82,0.00,0.60,0.28,4.45,4.25,3.83,1.21,0.39,0.52,1.79,1.00,0.99,37.00,50.00,76.00,676.00,733.00,700.00
116,hanger,3.00,3.75,3.58,1.34,1.11,1.36,2.91,4.59,4.24,4.12,0.51,1.44,0.74,3.00,3.75,3.58,1.34,1.11,1.36,0.61,0.29,0.29,85.00,95.00,95.00,784.00,809.00,829.00
117,harp,4.27,4.42,4.67,1.27,0.99,0.42,4.46,1.76,2.06,1.71,0.94,0.93,0.47,4.27,4.42,4.67,1.27,0.99,0.42,0.29,0.29,0.00,95.00,95.00,100.00,1308.00,1029.00,965.00
118,hat,3.27,2.67,3.42,1.79,1.88,1.72,1.82,3.71,3.59,3.65,1.10,1.38,0.37,3.27,2.67,3.42,1.79,1.88,1.72,1.96,2.24,1.48,20.00,33.00,42.00,608.00,643.00,626.00
119,heart,4.18,4.75,4.83,1.60,0.39,0.33,5.00,4.18,4.24,4.29,1.28,0.69,0.60,4.18,4.75,4.83,1.60,0.39,0.33,2.22,2.08,1.40,33.00,44.00,50.00,706.00,769.00,664.00
120,helicopter,3.91,3.58,3.33,0.94,0.63,1.52,2.00,2.82,3.12,2.53,1.53,0.99,0.89,3.91,3.58,3.33,0.94,0.63,1.52,1.18,0.61,1.21,70.00,85.00,61.00,772.00,813.00,734.00
121,horse,4.18,4.50,4.50,1.25,0.82,0.27,3.55,3.76,3.53,3.47,1.69,0.76,1.01,4.18,4.50,4.50,1.25,0.82,0.27,0.32,1.11,0.50,94.00,68.00,89.00,729.00,785.00,707.00
122,house,3.00,3.00,2.42,1.41,1.27,2.08,2.36,4.94,4.82,4.82,0.06,0.15,0.28,3.00,3.00,2.42,1.41,1.27,2.08,0.00,0.58,0.00,100.00,90.00,100.00,708.00,830.00,702.00
123,iron,3.55,2.92,3.25,1.21,1.90,1.30,2.36,4.00,4.00,3.82,0.88,1.00,0.90,3.55,2.92,3.25,1.21,1.90,1.30,0.74,1.00,0.65,79.00,53.00,83.00,1001.00,901.00,863.00
124,ironing board,4.00,4.33,4.17,1.10,0.42,0.52,1.46,4.35,3.82,3.76,0.87,0.90,1.19,4.00,4.33,4.17,1.10,0.42,0.52,2.43,2.27,1.54,37.00,39.00,40.00,1433.00,1125.00,951.00
125,jacket,3.45,2.50,2.50,1.21,1.55,1.55,1.27,4.47,4.29,4.47,1.14,0.85,0.51,3.45,2.50,2.50,1.21,1.55,1.55,0.00,0.00,0.00,100.00,100.00,100.00,1148.00,1015.00,1307.00
126,kangaroo,4.36,4.75,4.50,1.21,0.20,0.45,4.73,2.00,2.06,1.88,1.50,1.18,0.61,4.36,4.75,4.50,1.21,0.20,0.45,0.00,0.00,0.00,100.00,100.00,100.00,789.00,867.00,787.00
127,kettle,3.36,3.42,3.25,1.21,1.72,0.93,3.00,2.82,3.35,3.35,1.65,1.24,0.74,3.36,3.42,3.25,1.21,1.72,0.93,0.00,0.29,0.29,100.00,95.00,95.00,1202.00,1435.00,1222.00
128,key,3.09,2.42,3.33,1.38,1.17,2.24,4.27,4.94,4.82,4.88,0.06,0.28,0.11,3.09,2.42,3.33,1.38,1.17,2.24,0.00,0.00,0.00,100.00,100.00,100.00,725.00,663.00,651.00
129,kite,4.45,4.33,4.17,0.93,0.24,0.70,1.18,2.88,2.47,2.65,1.36,1.14,0.99,4.45,4.33,4.17,0.93,0.24,0.70,1.06,0.95,0.92,72.00,63.00,67.00,839.00,877.00,762.00
130,knife,3.73,3.08,3.75,1.49,0.99,0.75,3.18,4.59,4.41,4.47,1.13,0.88,1.14,3.73,3.08,3.75,1.49,0.99,0.75,0.72,0.29,0.81,80.00,95.00,75.00,878.00,892.00,853.00
131,ladder,3.36,4.67,4.50,1.21,0.24,0.45,3.36,3.65,3.53,3.24,1.74,1.39,0.69,3.36,4.67,4.50,1.21,0.24,0.45,0.00,0.00,0.00,100.00,100.00,100.00,699.00,696.00,694.00
132,lamp,2.82,3.17,2.75,1.47,1.61,1.84,1.36,4.88,4.06,4.29,0.11,0.81,0.72,2.82,3.17,2.75,1.47,1.61,1.84,0.29,0.00,0.00,95.00,100.00,100.00,707.00,727.00,683.00
133,leaf,3.27,2.83,4.17,1.74,2.88,0.88,3.18,4.65,4.12,3.76,0.37,1.24,0.94,3.27,2.83,4.17,1.74,2.88,0.88,0.75,0.00,0.00,85.00,100.00,100.00,776.00,736.00,730.00
134,leg,4.00,4.08,3.75,1.26,0.81,1.30,4.09,4.94,4.82,4.76,0.06,0.15,0.32,4.00,4.08,3.75,1.26,0.81,1.30,0.29,0.00,0.00,95.00,100.00,100.00,1019.00,1027.00,953.00
135,lemon,4.82,4.83,4.92,0.40,0.15,0.08,4.55,4.35,4.35,4.12,1.37,0.37,0.49,4.82,4.83,4.92,0.40,0.15,0.08,0.00,0.99,0.32,100.00,55.00,94.00,840.00,869.00,680.00
136,leopard,3.27,3.58,3.75,1.35,0.99,0.93,4.82,1.59,1.82,1.94,0.63,1.03,0.93,3.27,3.58,3.75,1.35,0.99,0.93,0.00,0.00,0.00,100.00,100.00,100.00,1094.00,925.00,1034.00
137,lettuce,3.45,4.25,4.00,1.13,0.57,2.18,4.64,3.31,4.29,4.29,2.63,0.47,0.85,3.45,4.25,4.00,1.13,0.57,2.18,1.17,0.64,0.00,75.00,88.00,100.00,1183.00,1069.00,1058.00
138,lightbulb,4.82,4.67,4.75,0.40,0.24,0.20,3.82,4.41,4.24,4.53,1.13,1.19,0.26,4.82,4.67,4.75,0.40,0.24,0.20,0.00,0.00,0.00,100.00,100.00,100.00,887.00,894.00,810.00
139,light switch,3.00,3.25,3.17,0.89,1.48,2.33,2.73,4.35,4.59,4.35,1.24,0.51,0.87,3.00,3.25,3.17,0.89,1.48,2.33,0.00,0.00,0.00,100.00,100.00,100.00,1213.00,1194.00,1155.00
140,lion,3.91,4.25,4.17,0.94,0.39,0.70,4.55,2.24,2.29,2.13,2.32,1.35,0.65,3.91,4.25,4.17,0.94,0.39,0.70,0.00,0.00,0.00,100.00,100.00,100.00,1037.00,910.00,796.00
141,lips,3.82,3.42,3.75,1.40,1.90,0.75,4.46,4.94,4.82,4.76,0.06,0.15,0.32,3.82,3.42,3.75,1.40,1.90,0.75,0.00,0.00,0.00,100.00,100.00,100.00,820.00,883.00,741.00
142,lobster,4.55,4.00,4.50,0.52,1.27,0.27,4.73,2.18,2.24,2.06,1.15,0.94,0.68,4.55,4.00,4.50,0.52,1.27,0.27,0.00,0.32,0.00,100.00,94.00,100.00,1300.00,1297.00,1071.00
143,lock,4.27,4.33,4.50,1.42,0.79,0.45,3.36,3.18,3.24,2.76,1.65,1.44,0.44,4.27,4.33,4.50,1.42,0.79,0.45,0.64,0.29,0.29,88.00,95.00,95.00,1084.00,1063.00,940.00
144,mitten,4.45,4.50,3.58,0.82,0.45,1.72,1.00,3.47,3.29,2.94,1.51,1.47,0.56,4.45,4.50,3.58,0.82,0.45,1.72,0.88,0.97,0.29,70.00,60.00,95.00,975.00,999.00,798.00
145,monkey,3.36,2.50,2.67,1.29,0.82,1.70,3.55,2.18,2.29,2.00,1.03,1.35,0.50,3.36,2.50,2.67,1.29,0.82,1.70,0.00,0.00,0.00,100.00,100.00,100.00,962.00,1065.00,1090.00
146,moon,4.00,3.92,3.75,1.26,1.36,2.02,4.64,4.47,4.41,4.29,1.14,0.38,1.22,4.00,3.92,3.75,1.26,1.36,2.02,0.32,0.81,0.75,94.00,83.00,85.00,768.00,868.00,786.00
147,motorcycle,3.55,3.50,3.83,0.93,1.55,0.70,1.55,4.12,4.00,3.88,1.36,0.63,0.61,3.55,3.50,3.83,0.93,1.55,0.70,0.32,0.00,0.00,94.00,100.00,100.00,810.00,742.00,694.00
148,mountain,4.64,3.92,3.42,0.67,0.99,1.17,3.46,2.82,3.12,2.82,1.15,0.99,0.90,4.64,3.92,3.42,0.67,0.99,1.17,1.76,2.33,1.51,60.00,25.00,44.00,919.00,980.00,945.00
149,mouse,4.27,4.08,4.50,0.79,1.72,0.45,4.36,3.29,3.35,2.88,1.35,1.37,0.74,4.27,4.08,4.50,0.79,1.72,0.45,0.29,0.00,0.00,95.00,100.00,100.00,835.00,820.00,719.00
150,mushroom,4.00,3.92,3.08,0.77,0.81,1.36,2.55,3.82,3.59,3.71,1.40,1.38,0.97,4.00,3.92,3.08,0.77,0.81,1.36,0.00,0.00,0.00,100.00,100.00,100.00,760.00,774.00,652.00
151,nail,4.09,4.83,4.75,1.22,0.15,0.20,4.46,3.29,3.12,3.06,1.60,1.74,0.56,4.09,4.83,4.75,1.22,0.15,0.20,0.00,0.29,1.20,100.00,95.00,68.00,1182.00,1004.00,1209.00
152,nail file,2.91,2.83,3.25,1.14,1.79,2.02,3.55,3.94,2.94,3.65,2.31,1.56,1.49,2.91,2.83,3.25,1.14,1.79,2.02,1.17,0.81,0.00,63.00,75.00,100.00,2090.00,1249.00,1434.00
153,necklace,3.73,4.25,4.17,1.56,1.11,1.42,1.82,4.12,3.82,3.94,1.61,1.03,1.06,3.73,4.25,4.17,1.56,1.11,1.42,0.00,0.32,0.32,100.00,94.00,94.00,805.00,779.00,722.00
154,needle,3.45,4.50,4.33,1.21,0.27,0.79,4.09,2.18,3.65,3.18,1.65,0.87,1.40,3.45,4.50,4.33,1.21,0.27,0.79,0.99,0.58,0.97,42.00,90.00,60.00,1251.00,1105.00,1327.00
155,nose,3.82,4.00,3.92,1.40,1.27,0.99,4.18,5.00,4.82,4.82,0.00,0.15,0.15,3.82,4.00,3.92,1.40,1.27,0.99,1.19,0.61,0.72,60.00,85.00,80.00,680.00,709.00,632.00
156,nut,4.55,4.17,4.00,1.21,1.42,3.27,4.46,2.65,2.94,2.59,1.74,1.43,0.76,4.55,4.17,4.00,1.21,1.42,3.27,0.00,0.00,0.00,100.00,100.00,100.00,1494.00,1272.00,1507.00
157,onion,3.91,4.42,4.67,1.14,0.45,0.24,4.46,3.88,4.06,4.18,1.61,1.06,0.53,3.91,4.42,4.67,1.14,0.45,0.24,0.32,0.29,0.29,94.00,95.00,95.00,1235.00,941.00,799.00
158,orange,4.64,4.75,4.83,0.67,0.20,0.15,4.91,4.59,4.24,4.41,1.38,0.69,0.38,4.64,4.75,4.83,0.67,0.20,0.15,0.00,0.00,0.00,100.00,100.00,100.00,823.00,921.00,714.00
159,ostrich,4.00,3.50,3.08,1.41,1.18,0.99,4.27,1.76,1.82,1.71,0.94,0.78,0.35,4.00,3.50,3.08,1.41,1.18,0.99,0.29,0.47,0.61,95.00,90.00,85.00,1192.00,1133.00,1099.00
160,owl,4.00,4.50,4.25,1.26,0.45,0.39,3.82,2.41,2.82,2.24,1.13,1.15,0.82,4.00,4.50,4.25,1.26,0.45,0.39,1.41,0.29,0.00,67.00,95.00,100.00,1002.00,777.00,963.00
161,paintbrush,4.36,3.92,3.75,1.21,1.72,1.48,2.82,3.24,3.47,3.00,1.32,1.14,1.25,4.36,3.92,3.75,1.21,1.72,1.48,0.72,0.37,0.00,80.00,93.00,100.00,907.00,887.00,744.00
162,pants,3.82,3.50,3.33,0.87,0.45,2.06,1.36,4.94,4.88,4.82,0.06,0.11,0.15,3.82,3.50,3.33,0.87,0.45,2.06,0.00,0.00,0.00,100.00,100.00,100.00,849.00,775.00,736.00
163,peach,4.18,4.17,3.33,0.98,1.61,1.52,4.27,4.12,3.94,4.00,1.36,0.56,0.50,4.18,4.17,3.33,0.98,1.61,1.52,0.00,0.00,0.00,100.00,100.00,100.00,1503.00,1347.00,1345.00
164,peacock,4.00,4.36,4.75,1.18,1.05,0.20,3.73,2.12,2.53,2.24,1.11,0.64,0.94,4.00,4.36,4.75,1.18,1.05,0.20,0.00,0.29,0.00,100.00,95.00,100.00,1127.00,1140.00,1011.00
165,peanut,4.36,4.08,4.75,1.29,1.90,0.20,5.00,3.31,3.35,3.18,1.56,1.24,1.15,4.36,4.08,4.75,1.29,1.90,0.20,0.47,0.29,0.00,90.00,95.00,100.00,1302.00,1053.00,901.00
166,pear,4.36,4.67,4.83,1.21,0.24,0.15,4.18,4.24,4.35,4.29,2.07,0.62,0.60,4.36,4.67,4.83,1.21,0.24,0.15,0.50,0.00,0.59,89.00,100.00,89.00,857.00,813.00,750.00
167,pen,3.18,2.75,3.00,1.33,1.66,1.64,1.09,4.94,4.88,4.76,0.06,0.11,0.19,3.18,2.75,3.00,1.33,1.66,1.64,0.64,0.00,0.00,88.00,100.00,100.00,924.00,960.00,928.00
168,pencil,4.45,4.83,4.58,0.69,0.15,0.63,1.91,4.88,4.88,4.71,0.24,0.11,0.35,4.45,4.83,4.58,0.69,0.15,0.63,0.29,0.29,0.29,95.00,95.00,95.00,788.00,859.00,698.00
169,penguin,3.73,4.08,3.75,1.01,0.63,0.93,5.00,1.88,2.35,1.82,0.86,1.62,0.53,3.73,4.08,3.75,1.01,0.63,0.93,0.29,0.00,0.00,95.00,100.00,100.00,1216.00,976.00,1042.00
170,pepper,4.18,4.33,3.83,0.98,0.24,1.61,3.27,3.35,2.53,3.35,1.62,1.51,1.12,4.18,4.33,3.83,0.98,0.24,1.61,0.00,0.61,0.99,100.00,85.00,75.00,1126.00,1307.00,1041.00
171,piano,4.18,4.08,3.83,1.25,0.99,1.42,3.73,3.71,3.76,3.35,1.85,0.94,0.99,4.18,4.08,3.83,1.25,0.99,1.42,0.00,0.00,0.00,100.00,100.00,100.00,851.00,826.00,788.00
172,pig,4.45,3.92,4.17,0.82,0.81,0.70,4.46,3.00,2.82,2.65,1.38,1.15,0.99,4.45,3.92,4.17,0.82,0.81,0.70,0.95,0.47,1.01,78.00,90.00,74.00,1078.00,1120.00,888.00
173,pineapple,4.73,4.67,4.75,0.65,0.24,0.20,4.73,3.24,3.82,3.18,1.07,0.90,1.03,4.73,4.67,4.75,0.65,0.24,0.20,0.00,0.29,0.00,100.00,95.00,100.00,773.00,880.00,859.00
174,pipe,4.18,4.58,4.08,1.25,0.27,0.99,3.09,3.00,2.82,2.94,1.75,1.53,0.81,4.18,4.58,4.08,1.25,0.27,0.99,0.00,1.19,1.24,100.00,60.00,53.00,760.00,670.00,692.00
175,pitcher,4.09,3.75,3.67,1.22,1.30,1.52,2.36,3.76,4.06,3.71,1.32,1.06,1.10,4.09,3.75,3.67,1.22,1.30,1.52,0.71,0.29,0.00,81.00,95.00,100.00,1174.00,1190.00,1106.00
176,pliers,2.80,2.17,2.42,1.69,2.52,2.27,3.64,2.82,2.94,2.24,1.15,1.31,1.19,2.80,2.17,2.42,1.69,2.52,2.27,0.00,0.00,0.00,100.00,100.00,100.00,1544.00,1423.00,1433.00
177,plug,2.18,2.42,2.92,1.47,1.72,2.45,3.00,3.47,3.53,3.88,2.14,2.14,1.11,2.18,2.42,2.92,1.47,1.72,2.45,0.00,0.00,0.00,100.00,100.00,100.00,1373.00,1388.00,1268.00
178,pocketbook,2.91,2.92,2.83,1.30,0.99,1.24,1.09,4.35,4.00,4.35,0.87,0.50,0.49,2.91,2.92,2.83,1.30,0.99,1.24,0.00,0.00,0.00,100.00,100.00,100.00,934.00,902.00,774.00
179,pot,2.73,2.58,2.50,1.42,1.72,1.73,2.64,4.71,4.76,4.71,0.72,0.44,0.22,2.73,2.58,2.50,1.42,1.72,1.73,0.88,0.91,1.00,70.00,68.00,50.00,747.00,762.00,821.00
180,potato,4.45,4.33,4.67,0.52,0.79,1.33,4.55,4.35,4.35,4.53,1.74,0.74,0.39,4.45,4.33,4.67,0.52,0.79,1.33,0.00,0.00,0.00,100.00,100.00,100.00,1191.00,899.00,979.00
181,pumpkin,4.45,4.67,4.00,0.93,0.24,1.82,4.91,2.94,2.65,2.53,1.18,1.37,0.51,4.45,4.67,4.00,0.93,0.24,1.82,0.81,0.29,0.32,83.00,95.00,94.00,1184.00,1169.00,959.00
182,rabbit,4.36,4.25,3.83,0.81,0.75,1.42,3.55,3.71,3.82,3.69,1.22,0.65,1.16,4.36,4.25,3.83,0.81,0.75,1.42,0.00,0.00,0.00,100.00,100.00,100.00,716.00,725.00,635.00
183,raccoon,3.55,3.25,3.92,1.51,2.02,2.08,4.55,1.76,1.76,1.53,1.19,0.69,0.39,3.55,3.25,3.92,1.51,2.02,2.08,1.31,1.30,0.78,69.00,54.00,85.00,1643.00,1388.00,1422.00
184,record player,4.00,4.00,3.75,1.18,0.91,1.11,2.46,3.06,2.88,2.53,1.18,0.99,1.39,4.00,4.00,3.75,1.18,0.91,1.11,1.35,0.29,0.78,67.00,95.00,84.00,1031.00,1073.00,1000.00
185,refrigerator,3.55,4.17,4.33,1.29,0.33,0.79,3.46,4.88,4.65,4.76,0.11,0.24,0.19,3.55,4.17,4.33,1.29,0.33,0.79,0.81,0.91,0.59,75.00,79.00,89.00,933.00,833.00,806.00
186,rhinoceros,4.36,4.58,4.75,1.21,0.27,0.20,4.91,1.94,1.94,1.76,1.43,1.06,0.82,4.36,4.58,4.75,1.21,0.27,0.20,1.31,1.74,1.65,69.00,50.00,39.00,1053.00,1033.00,916.00
187,ring,3.36,3.00,3.17,1.12,1.45,1.79,2.82,3.00,4.00,4.06,2.63,1.13,0.93,3.36,3.00,3.17,1.12,1.45,1.79,0.81,0.29,0.00,75.00,95.00,100.00,1291.00,1181.00,898.00
188,rocking chair,3.91,4.50,4.33,1.38,0.45,0.42,3.36,2.82,2.41,2.71,1.53,1.26,1.35,3.91,4.50,4.33,1.38,0.45,0.42,1.06,0.99,1.21,73.00,75.00,69.00,1074.00,1003.00,1265.00
189,roller skate,2.00,3.25,3.42,1.00,2.02,2.08,2.18,3.00,3.00,2.76,1.25,1.38,1.44,2.00,3.25,3.42,1.00,2.02,2.08,0.58,0.29,0.00,90.00,95.00,100.00,1354.00,1133.00,1146.00
190,rolling pin,4.82,4.92,4.83,0.40,0.08,0.15,3.46,3.06,3.00,2.41,1.18,1.75,0.51,4.82,4.92,4.83,0.40,0.08,0.15,0.00,0.00,0.00,100.00,100.00,100.00,1251.00,1362.00,1198.00
191,rooster,4.64,4.33,3.92,0.81,0.42,0.81,3.82,3.59,3.53,3.12,2.01,0.89,0.61,4.64,4.33,3.92,0.81,0.42,0.81,0.88,0.91,0.93,70.00,32.00,65.00,961.00,912.00,804.00
192,ruler,3.73,4.00,3.67,1.01,0.91,1.33,2.18,4.76,4.41,4.47,0.32,1.01,0.51,3.73,4.00,3.67,1.01,0.91,1.33,0.99,1.21,0.72,58.00,61.00,80.00,880.00,969.00,843.00
193,sailboat,3.00,2.42,3.00,1.10,1.17,2.36,2.73,2.82,2.94,2.88,1.40,0.93,0.86,3.00,2.42,3.00,1.10,1.17,2.36,1.27,0.78,0.72,75.00,85.00,80.00,758.00,826.00,850.00
194,saltshaker,3.91,4.00,4.33,1.14,0.73,0.79,2.91,4.12,4.29,4.47,1.49,0.72,0.51,3.91,4.00,4.33,1.14,0.73,0.79,0.73,0.29,0.00,86.00,95.00,100.00,1205.00,1013.00,920.00
195,sandwich,2.91,3.50,3.33,1.30,1.36,1.33,3.55,4.53,4.29,4.47,0.76,0.72,0.76,2.91,3.50,3.33,1.30,1.36,1.33,0.00,0.00,0.00,100.00,100.00,100.00,891.00,888.00,783.00
196,saw,4.00,4.33,4.25,1.34,0.97,0.93,3.73,3.12,3.06,2.53,1.74,0.93,0.89,4.00,4.33,4.25,1.34,0.97,0.93,0.73,0.59,0.94,86.00,86.00,64.00,1189.00,899.00,851.00
197,scissors,4.64,4.42,4.67,0.50,0.63,0.42,3.73,4.65,4.47,4.41,1.12,0.39,1.01,4.64,4.42,4.67,0.50,0.63,0.42,0.29,0.00,0.00,95.00,100.00,100.00,776.00,765.00,739.00
198,screw,3.09,4.08,3.75,1.38,0.63,1.11,4.46,3.18,2.71,3.06,1.65,1.35,0.56,3.09,4.08,3.75,1.38,0.63,1.11,0.61,0.00,0.00,85.00,100.00,100.00,974.00,984.00,1059.00
199,screwdriver,4.55,4.58,4.25,0.52,0.27,0.20,3.00,3.00,3.24,2.82,1.25,1.32,0.53,4.55,4.58,4.25,0.52,0.27,0.20,0.29,0.00,0.00,95.00,100.00,100.00,1168.00,1120.00,961.00
200,sea horse,4.18,4.17,4.75,0.98,2.33,0.39,4.09,1.53,1.41,1.53,1.14,0.51,0.51,4.18,4.17,4.75,0.98,2.33,0.39,0.00,0.00,0.00,100.00,100.00,100.00,1228.00,1190.00,1110.00
201,seal,3.00,3.92,4.00,1.34,0.81,1.82,4.09,1.71,1.88,1.88,0.85,1.11,0.61,3.00,3.92,4.00,1.34,0.81,1.82,1.11,1.24,1.24,68.00,74.00,60.00,929.00,921.00,871.00
202,sheep,3.82,3.25,4.25,1.08,0.93,0.75,4.09,3.24,3.41,2.65,1.44,1.13,0.87,3.82,3.25,4.25,1.08,0.93,0.75,1.17,0.00,1.41,75.00,100.00,59.00,1138.00,1016.00,1038.00
203,shirt,3.91,4.00,3.25,1.38,1.09,0.93,1.18,4.71,4.35,4.71,0.35,0.37,0.22,3.91,4.00,3.25,1.38,1.09,0.93,0.00,0.94,0.00,100.00,83.00,100.00,1109.00,953.00,810.00
204,shoe,3.82,2.25,3.08,1.33,1.48,2.08,2.09,4.88,4.53,4.82,0.24,1.39,0.15,3.82,2.25,3.08,1.33,1.48,2.08,0.00,0.00,0.00,100.00,100.00,100.00,732.00,854.00,716.00
205,skirt,2.45,2.17,2.33,1.04,1.06,1.88,1.00,4.12,3.59,3.94,1.74,1.76,0.56,2.45,2.17,2.33,1.04,1.06,1.88,0.00,0.00,0.00,100.00,100.00,100.00,933.00,833.00,845.00
206,skunk,3.82,4.17,4.25,1.33,1.42,1.48,4.91,1.76,1.59,1.59,1.07,0.51,0.51,3.82,4.17,4.25,1.33,1.42,1.48,0.00,0.00,0.00,100.00,100.00,100.00,1662.00,1213.00,1297.00
207,sled,3.36,3.33,3.50,1.12,1.15,0.64,2.55,2.35,2.35,2.29,0.99,1.24,0.60,3.36,3.33,3.50,1.12,1.15,0.64,0.00,0.00,0.00,100.00,100.00,100.00,1411.00,1199.00,1132.00
208,snail,4.55,4.17,4.08,0.69,0.52,1.17,3.73,3.29,3.29,3.06,1.47,1.10,1.06,4.55,4.17,4.08,0.69,0.52,1.17,0.00,0.00,0.00,100.00,100.00,100.00,809.00,945.00,762.00
209,snake,3.45,4.25,3.17,1.04,0.57,1.24,2.91,1.88,2.12,2.00,1.24,0.86,0.75,3.45,4.25,3.17,1.04,0.57,1.24,0.29,0.29,0.00,95.00,95.00,100.00,847.00,854.00,792.00
210,snowman,4.18,3.83,4.00,1.33,1.24,0.55,4.82,2.71,3.18,2.76,1.72,1.65,0.57,4.18,3.83,4.00,1.33,1.24,0.55,0.58,0.29,0.00,90.00,95.00,100.00,921.00,877.00,867.00
211,socks,3.55,3.50,3.00,1.04,1.36,2.00,1.00,4.88,4.53,4.76,0.24,0.64,0.19,3.55,3.50,3.00,1.04,1.36,2.00,0.63,1.06,0.59,84.00,72.00,89.00,777.00,811.00,680.00
212,spider,3.27,2.75,2.83,1.35,1.11,1.24,3.36,3.59,3.53,3.41,1.26,1.01,1.63,3.27,2.75,2.83,1.35,1.11,1.24,0.00,0.47,0.75,100.00,90.00,85.00,1133.00,1086.00,901.00
213,spinning wheel,1.82,2.64,2.33,1.25,2.25,2.61,4.55,1.53,1.53,1.59,0.64,0.51,0.38,1.82,2.64,2.33,1.25,2.25,2.61,0.00,0.00,0.00,100.00,100.00,100.00,2067.00,1553.00,2264.00
214,spool of thread,4.36,4.42,3.92,0.81,0.81,1.54,1.18,3.00,3.47,3.35,1.38,1.64,0.74,4.36,4.42,3.92,0.81,0.81,1.54,1.43,1.00,0.89,61.00,53.00,69.00,1211.00,1153.00,999.00
215,spoon,3.91,4.00,4.58,0.54,0.91,0.45,4.00,4.94,4.82,4.82,0.06,0.15,0.28,3.91,4.00,4.58,0.54,0.91,0.45,0.00,0.00,0.00,100.00,100.00,100.00,685.00,668.00,655.00
216,squirrel,4.45,4.42,4.33,1.21,0.27,0.61,4.27,3.00,2.88,2.35,1.38,1.11,0.62,4.45,4.42,4.33,1.21,0.27,0.61,0.83,1.11,0.91,74.00,68.00,79.00,1280.00,1007.00,943.00
217,star,4.09,4.75,4.25,1.38,0.39,0.75,4.18,4.29,3.76,4.06,1.22,1.07,0.81,4.09,4.75,4.25,1.38,0.39,0.75,1.60,1.35,1.39,63.00,61.00,47.00,658.00,716.00,656.00
218,stool,4.18,4.00,4.25,0.75,1.09,0.57,2.55,4.12,4.18,4.41,1.24,0.65,0.38,4.18,4.00,4.25,0.75,1.09,0.57,0.00,0.00,0.00,100.00,100.00,100.00,820.00,873.00,748.00
219,stove,3.27,2.92,3.17,1.74,2.27,1.42,3.46,4.47,4.59,4.59,0.76,0.38,0.51,3.27,2.92,3.17,1.74,2.27,1.42,0.75,0.47,0.29,85.00,90.00,95.00,1239.00,1050.00,1202.00
220,strawberry,4.36,4.50,4.83,1.03,0.45,0.15,4.64,3.88,4.18,3.88,1.61,0.78,0.74,4.36,4.50,4.83,1.03,0.45,0.15,0.00,0.00,0.00,100.00,100.00,100.00,986.00,910.00,831.00
221,suitcase,3.64,3.83,3.42,1.03,0.52,1.17,1.64,4.00,3.76,3.76,0.75,0.94,0.94,3.64,3.83,3.42,1.03,0.52,1.17,0.47,0.29,0.75,90.00,95.00,85.00,959.00,837.00,835.00
222,sun,4.27,4.50,4.50,1.01,1.00,0.45,4.73,4.82,4.82,4.24,0.15,0.15,1.07,4.27,4.50,4.50,1.01,1.00,0.45,0.76,0.29,0.74,78.00,95.00,79.00,667.00,712.00,635.00
223,swan,4.45,4.75,4.67,0.93,0.20,0.24,4.82,2.76,2.71,2.41,1.32,0.72,0.51,4.45,4.75,4.67,0.93,0.20,0.24,0.00,0.29,0.00,100.00,95.00,100.00,961.00,1052.00,967.00
224,sweater,3.09,3.58,3.50,1.14,1.17,2.09,1.00,4.94,4.53,4.71,0.06,0.39,0.35,3.09,3.58,3.50,1.14,1.17,2.09,0.00,0.00,0.00,100.00,100.00,100.00,1006.00,958.00,871.00
225,swing,3.82,4.33,4.08,1.08,0.42,1.17,2.64,3.18,2.88,2.88,2.40,1.99,1.11,3.82,4.33,4.08,1.08,0.42,1.17,0.00,0.00,0.00,100.00,100.00,100.00,1519.00,1366.00,1053.00
226,table,3.45,3.33,3.83,1.69,2.06,1.06,3.00,5.00,4.94,4.47,0.00,0.06,0.89,3.45,3.33,3.83,1.69,2.06,1.06,0.00,0.00,0.00,100.00,100.00,100.00,648.00,790.00,719.00
